taskid|category|country|state|city|varname|comment
19056170|Getting Electricity|United States|Missouri|St. Louis|Time in Calendar Days|"Comments
Add your comment here"
19056176|Getting Electricity|United States|Montana|Billings|Time in Calendar Days|"Comments
Add your comment here"
19056182|Getting Electricity|United States|Nebraska|Omaha|Time in Calendar Days|"Comments
Add your comment here"
19056188|Getting Electricity|United States|Nevada|Las Vegas|Time in Calendar Days|"Comments
Add your comment here"
19056194|Getting Electricity|United States|New Hampshire|Manchester|Time in Calendar Days|"Comments
Add your comment here"
19056200|Getting Electricity|United States|New Jersey|Newark|Time in Calendar Days|"Comments
Add your comment here"
19056206|Getting Electricity|United States|New Mexico|Albuquerque|Time in Calendar Days|"Comments
Add your comment here"
19056212|Getting Electricity|United States|New York|Buffalo|Time in Calendar Days|"Comments
Add your comment here"
19056218|Getting Electricity|United States|New York|New York City|Time in Calendar Days|"Comments
Add your comment here"
19056224|Getting Electricity|United States|New York|Rochester|Time in Calendar Days|"Comments
Add your comment here"
19056230|Getting Electricity|United States|North Carolina|Charlotte|Time in Calendar Days|"Comments
Add your comment here"
19056236|Getting Electricity|United States|North Dakota|Fargo|Time in Calendar Days|"Comments
Add your comment here"
19056242|Getting Electricity|United States|Ohio|Cleveland|Time in Calendar Days|"Comments
Add your comment here"
19056248|Getting Electricity|United States|Ohio|Columbus|Time in Calendar Days|"Comments
Add your comment here"
19056254|Getting Electricity|United States|Oklahoma|Oklahoma City|Time in Calendar Days|"Comments
Add your comment here"
19056260|Getting Electricity|United States|Oregon|Portland|Time in Calendar Days|"Comments
Add your comment here"
19056266|Getting Electricity|United States|Pennsylvania|Philadelphia|Time in Calendar Days|"Comments
Add your comment here"
19056272|Getting Electricity|United States|Pennsylvania|Pittsburgh|Time in Calendar Days|"Comments
Add your comment here"
19056278|Getting Electricity|United States|Rhode Island|Providence|Time in Calendar Days|"Comments
Add your comment here"
19056285|Getting Electricity|United States|South Carolina|Charleston|Time in Calendar Days|"Comments
Add your comment here"
19056291|Getting Electricity|United States|South Dakota|Sioux Falls|Time in Calendar Days|"Comments
Add your comment here"
19056297|Getting Electricity|United States|Tennessee|Nashville|Time in Calendar Days|"Comments
Add your comment here"
19056303|Getting Electricity|United States|Texas|Austin|Time in Calendar Days|"Comments
Add your comment here"
19056309|Getting Electricity|United States|Texas|Dallas|Time in Calendar Days|"Comments
Add your comment here"
19056315|Getting Electricity|United States|Texas|Houston|Time in Calendar Days|"Comments
Add your comment here"
19056321|Getting Electricity|United States|Texas|San Antonio|Time in Calendar Days|"Comments
Add your comment here"
19056327|Getting Electricity|United States|Utah|Salt Lake City|Time in Calendar Days|"Comments
Add your comment here"
19056333|Getting Electricity|United States|Virginia|Arlington|Time in Calendar Days|"Comments
Add your comment here"
19056339|Getting Electricity|United States|Virginia|Virginia Beach|Time in Calendar Days|"Comments
Add your comment here"
19058106|Getting Electricity|United States|Washington|Seattle|Time in Calendar Days|"Comments
Add your comment here"
19058113|Getting Electricity|United States|Wisconsin|Milwaukee|Time in Calendar Days|"Comments
Add your comment here"
19136702|Getting Electricity|Canada|Alberta|Calgary|Time in Calendar Days|"Comments
Add your comment here"
19136713|Getting Electricity|Canada|British Columbia|Vancouver|Number of Procedures|"Comments
Add your comment here"
19136720|Getting Electricity|Canada|Manitoba|Winnipeg|Time in Calendar Days|"Comments
Add your comment here"
19136726|Getting Electricity|Canada|New Brunswick|Moncton|Time in Calendar Days|"Comments
Add your comment here"
19136732|Getting Electricity|Canada|Newfoundland and Labrador|St. Johns|Number of Procedures|"Comments
Add your comment here"
19136739|Getting Electricity|Canada|Nova Scotia|Halifax|Time in Calendar Days|"Comments
Add your comment here"
19136744|Getting Electricity|Canada|Ontario|Toronto|Number of Procedures|"Comments
Add your comment here"
19136751|Getting Electricity|Canada|Ontario|Ottawa|Time in Calendar Days|"Comments
Add your comment here"
19136756|Getting Electricity|Canada|Quebec|Quebec City|Number of Procedures|"Comments
Add your comment here"
19136763|Getting Electricity|Canada|Saskatchewan|Saskatoon|Time in Calendar Days|"Comments
Add your comment here"
18981074|Getting Electricity|United States|Alabama|Birmingham|Time in Calendar Days|"Comments
Add your comment here"
19056005|Getting Electricity|United States|Alaska|Anchorage|Time in Calendar Days|"Comments
Add your comment here"
19056023|Getting Electricity|United States|California|San Diego|Time in Calendar Days|"Comments
Add your comment here"
19056047|Getting Electricity|United States|Washington D.C.|District of Columbia|Time in Calendar Days|"Comments
Add your comment here"
19056076|Getting Electricity|United States|Georgia|Atlanta|Number of Procedures|"Comments
Add your comment here"
19056085|Getting Electricity|United States|Hawaii|Honolulu|Number of Procedures|"Comments
Add your comment here"
19056091|Getting Electricity|United States|Idaho|Boise|Number of Procedures|"Comments
Add your comment here"
19056097|Getting Electricity|United States|Illinois|Chicago|Number of Procedures|"Comments
Add your comment here"
19056103|Getting Electricity|United States|Indiana|Indianapolis|Number of Procedures|"Comments
Add your comment here"
19056109|Getting Electricity|United States|Iowa|Des Moines|Number of Procedures|"Comments
Add your comment here"
19056115|Getting Electricity|United States|Kansas|Wichita|Number of Procedures|"Comments
Add your comment here"
19056121|Getting Electricity|United States|Kentucky|Louisville|Number of Procedures|"Comments
Add your comment here"
19056127|Getting Electricity|United States|Louisiana|New Orleans|Number of Procedures|"Comments
Add your comment here"
19056133|Getting Electricity|United States|Maryland|Baltimore|Number of Procedures|"Comments
Add your comment here"
19056139|Getting Electricity|United States|Massachusetts|Boston|Number of Procedures|"Comments
Add your comment here"
19056145|Getting Electricity|United States|Michigan|Detroit|Number of Procedures|"Comments
Add your comment here"
19056163|Getting Electricity|United States|Mississippi|Jackson|Number of Procedures|"Comments
1. Jessica Carter (Center for the Study of Economic Liberty)   Wed Jan 30th, 9:53PM
Copied to 1 person
I've looked for about an hour and a half but I cannot find this variable I've found a pdf that basically says this info is only available online so this may be a survey variable for all theories Entergy

Source
http://www.entergy-louisiana.com/Global/your_business/installation_standards/CIS.pdf

Add your comment here"
19056169|Getting Electricity|United States|Missouri|St. Louis|Number of Procedures|"Comments
Add your comment here"
19056175|Getting Electricity|United States|Montana|Billings|Number of Procedures|"Comments
Add your comment here"
19056181|Getting Electricity|United States|Nebraska|Omaha|Number of Procedures|"Comments
Add your comment here"
19056187|Getting Electricity|United States|Nevada|Las Vegas|Number of Procedures|"Comments
Add your comment here"
19056193|Getting Electricity|United States|New Hampshire|Manchester|Number of Procedures|"Comments
Add your comment here"
19056199|Getting Electricity|United States|New Jersey|Newark|Number of Procedures|"Comments
Add your comment here"
19056205|Getting Electricity|United States|New Mexico|Albuquerque|Number of Procedures|"Comments
Add your comment here"
19056211|Getting Electricity|United States|New York|Buffalo|Number of Procedures|"Comments
Add your comment here"
19056217|Getting Electricity|United States|New York|New York City|Number of Procedures|"Comments
Add your comment here"
19056223|Getting Electricity|United States|New York|Rochester|Number of Procedures|"Comments
Add your comment here"
19056229|Getting Electricity|United States|North Carolina|Charlotte|Number of Procedures|"Comments
Add your comment here"
19056235|Getting Electricity|United States|North Dakota|Fargo|Number of Procedures|"Comments
Add your comment here"
19056241|Getting Electricity|United States|Ohio|Cleveland|Number of Procedures|"Comments
Add your comment here"
19056247|Getting Electricity|United States|Ohio|Columbus|Number of Procedures|"Comments
Add your comment here"
19056253|Getting Electricity|United States|Oklahoma|Oklahoma City|Number of Procedures|"Comments
Add your comment here"
19056259|Getting Electricity|United States|Oregon|Portland|Number of Procedures|"Comments
Add your comment here"
19056265|Getting Electricity|United States|Pennsylvania|Philadelphia|Number of Procedures|"Comments
Add your comment here"
19056271|Getting Electricity|United States|Pennsylvania|Pittsburgh|Number of Procedures|"Comments
Add your comment here"
19056277|Getting Electricity|United States|Rhode Island|Providence|Number of Procedures|"Comments
Add your comment here"
19056284|Getting Electricity|United States|South Carolina|Charleston|Number of Procedures|"Comments
Add your comment here"
19056290|Getting Electricity|United States|South Dakota|Sioux Falls|Number of Procedures|"Comments
Add your comment here"
19056296|Getting Electricity|United States|Tennessee|Nashville|Number of Procedures|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Thu Jan 24th, 11:34AM
Copied to 9 people
Source: https://nespower.com/documents/ElectricServiceGuidelines.pdf
See Page 44+ for Commercial Building Procedures.

Step 1) Establish Account and Request Service.
Notes: Can be completed in-person, telephone, mail, or facsimile. Therefore considering 1-day procedure. Required cost is basic service charge, believe that means Cost of Electricity (US Cents per Kilowatt-Hour times 20,000). Opinions team?

Step 2) Design Distribution System.
Notes: NES Customer Engineering will design the layout for the business. If anything like residential, this process takes 6-8 weeks. Hard to track down the official cost, but will continue to look.

Step 3) Install Meter Base and Other Service Equipment
Notes: Lots of rules in this step. No information on cost or time here, but will continue to look.

Step 4) Site Preparation for Overhead Service
Notes: There is a ton of variance here. Essentially it's up to the land-owner to trim and remove trees so there is no interference for power lines. We have no choice but to assume the land plot is barren (no trees), so nothing to worry about here.

Step 5) Install Service Mast
Notes: Takes roughly $1,500 and roughly 5 days to install.

Time to find procedure, time and cost information: Roughly 1 hour. Definitely takes some searching to find the right resources!


One Attachment
nashvilleTennesseeElectricityInstallationProcedures.pdf
7.47 MB
Add your comment here"
19056302|Getting Electricity|United States|Texas|Austin|Number of Procedures|"Comments
Add your comment here"
19056308|Getting Electricity|United States|Texas|Dallas|Number of Procedures|"Comments
Add your comment here"
19056314|Getting Electricity|United States|Texas|Houston|Number of Procedures|"Comments
Add your comment here"
19056320|Getting Electricity|United States|Texas|San Antonio|Number of Procedures|"Comments
Add your comment here"
19056326|Getting Electricity|United States|Utah|Salt Lake City|Number of Procedures|"Comments
Add your comment here"
19058112|Getting Electricity|United States|Wisconsin|Milwaukee|Number of Procedures|"Comments
Add your comment here"
19136677|Getting Electricity|United States|Maine|Portland|Number of Procedures|"Comments
Add your comment here"
19136683|Getting Electricity|United States|Vermont|Burlington|Number of Procedures|"Comments
Add your comment here"
19136689|Getting Electricity|United States|West Virginia|Charleston|Number of Procedures|"Comments
Add your comment here"
19136695|Getting Electricity|United States|Wyoming|Cheyenne|Number of Procedures|"Comments
Add your comment here"
19136701|Getting Electricity|Canada|Alberta|Calgary|Number of Procedures|"Comments
Add your comment here"
19136714|Getting Electricity|Canada|British Columbia|Vancouver|Time in Calendar Days|"Comments
Add your comment here"
19136719|Getting Electricity|Canada|Manitoba|Winnipeg|Number of Procedures|"Comments
Add your comment here"
19136725|Getting Electricity|Canada|New Brunswick|Moncton|Number of Procedures|"Comments
Add your comment here"
19136733|Getting Electricity|Canada|Newfoundland and Labrador|St. Johns|Time in Calendar Days|"Comments
Add your comment here"
19136738|Getting Electricity|Canada|Nova Scotia|Halifax|Number of Procedures|"Comments
Add your comment here"
19136745|Getting Electricity|Canada|Ontario|Toronto|Time in Calendar Days|"Comments
Add your comment here"
19136750|Getting Electricity|Canada|Ontario|Ottawa|Number of Procedures|"Comments
Add your comment here"
19136757|Getting Electricity|Canada|Quebec|Quebec City|Time in Calendar Days|"Comments
Add your comment here"
19136762|Getting Electricity|Canada|Saskatchewan|Saskatoon|Number of Procedures|"Comments
Add your comment here"
18981073|Getting Electricity|United States|Alabama|Birmingham|Number of Procedures|"Comments
Add your comment here"
19056004|Getting Electricity|United States|Alaska|Anchorage|Number of Procedures|"Comments
1. Anamita Anuva (Center for the Study of Economic Liberty)   Fri Nov 16th, 2018 6:05PM
Copied to 1 person


Source:
https://billing.mlandp.com/onlineform/application%20for%20service/application%20for%20service.aspx
Add your comment here"
19056016|Getting Electricity|United States|California|Los Angeles|Number of Procedures|"Comments
Add your comment here"
19056046|Getting Electricity|United States|Washington D.C.|District of Columbia|Number of Procedures|"Comments
Add your comment here"
19056065|Getting Electricity|United States|Florida|Orlando|Time in Calendar Days|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Thu Jan 31st, 2:17PM New
Copied to 1 person
41-56 days

1. Request service (1 day)
2. Design conduit system (15-30 days)
3. Installation of conduit system (1 day)
4. Construction (3 weeks = 21 days)
5. Obtain inspection clearance from city/county (1 day)
6. Setup OUC account (1 day)
7. Set meters and turn on service (1 day)

http://www.ouc.com/docs/development-services-documents/dev_guide.pdf?sfvrsn=2
Add your comment here"
19056064|Getting Electricity|United States|Florida|Orlando|Number of Procedures|"Comments
1. Ashley Marrs (Center for the Study of Economic Liberty)   Thu Jan 31st, 2:14PM
Copied to 1 person
7 procedures

1. Request service
2. Design conduit system
3. Installation of conduit system
4. Construction
5. Obtain inspection clearance from city/county
6. Setup OUC account
7. Set meters and turn on service

http://www.ouc.com/docs/development-services-documents/dev_guide.pdf?sfvrsn=2
Add your comment here"
19056059|Getting Electricity|United States|Florida|Miami|Time in Calendar Days|"Comments
1. Ashley Marrs (Center for the Study of Economic Liberty)   Wed Jan 30th, 9:56PM
Copied to 1 person
minimum 6 days, unsure about length of time for design of project - could take anywhere from 4-6 weeks (typical timeframe in other states) which adds abt 28-42 days

1. Apply online (1 day)
2. Inspection by city or county (1 day)
3. Consult for design of project (??)
4. Mark/tag service conductors (1 day)
5. Instal meter socket (1 day)
6. Install meters (1 day)

https://www.fpl.com/partner/pdf/electric-service-standards.pdf
https://www.fpl.com/smart-meters/faq.html
https://www.fpl.com/account/moving.html


Add your comment here"
19056058|Getting Electricity|United States|Florida|Miami|Number of Procedures|"Comments
1. Ashley Marrs (Center for the Study of Economic Liberty)   Wed Jan 30th, 9:52PM
Copied to 1 person
6 procedures

1. Apply online
2. Inspection by city or county
3. Consult for design of project
4. Mark/tag service conductors
5. Instal meter socket
6. Install meters

https://www.fpl.com/partner/pdf/electric-service-standards.pdf
https://www.fpl.com/account/moving.html
Add your comment here"
19056053|Getting Electricity|United States|Florida|Jacksonville|Time in Calendar Days|"Comments
1. Ashley Marrs (Center for the Study of Economic Liberty)   Wed Jan 30th, 9:15PM
Copied to 1 person
13 days

1. Apply (1 day)
2. Inspection (1 day)
3. Obtain & submit permit (1 day)
4. Install meter (minimum 10 days between inspection and installation)


https://www.jea.com/Engineering.../Rules_and_Regulations_for_Electric_Service/
https://www.jea.com/My_Account/New_Customer_Information/
Add your comment here"
19056052|Getting Electricity|United States|Florida|Jacksonville|Number of Procedures|"Comments
1. Ashley Marrs (Center for the Study of Economic Liberty)   Wed Jan 30th, 9:14PM
Copied to 1 person
4 procedures

1. Apply online or by phone & might have to pay deposit
2. Inspection of property with City or County Electrical Inspection Authority
3. Obtain and submit permit from City or County Electrical Inspection Authority
4. Install meter

https://www.jea.com/Engineering.../Rules_and_Regulations_for_Electric_Service/
https://www.jea.com/My_Account/New_Customer_Information/
Add your comment here"
19056158|Getting Electricity|United States|Minnesota|Minneapolis|Time in Calendar Days|"Comments
Mark All as Read
1. Jessica Carter (Center for the Study of Economic Liberty)   Wed Jan 30th, 8:47PM New
Copied to 1 person
Final Design (40 weeks)
Equipment Delivery (15 weeks)
Equipment Installation and Energization (10 days)
Final Acceptance & Testing (1 day?)
Post PTO (Time doesn't contribute to usage but 120 days)
Source
https://www.xcelenergy.com/staticfiles/xe-responsive/Working%20With%20Us/Renewable%20Developers/SRC-MN-Commercial-Operation-Process.pdf
Add your comment here"
19056157|Getting Electricity|United States|Minnesota|Minneapolis|Number of Procedures|"Comments
Mark All as Read
1. Jessica Carter (Center for the Study of Economic Liberty)   Wed Jan 30th, 8:06PM New
Copied to 1 person
Final Design
Equipment Delivery
Equipment Installation & Energization
Final Acceptance & Testing
Post PTO
Source
https://www.xcelenergy.com/staticfiles/xe-responsive/Working%20With%20Us/Renewable%20Developers/SRC-MN-Commercial-Operation-Process.pdf
Add your comment here"
19056071|Getting Electricity|United States|Florida|Tampa|Time in Calendar Days|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Wed Jan 30th, 6:58PM New
Copied to 1 person
up to 49 days

1. Apply online to start service (1 day)
2. Determine ""point of delivery"" & get approval from company for project (1 day)
3. Purchase/rent required equipment
4. Install necessary equipment to prep meter installation
5. Schedule/complete inspection
Steps 3-5 can take up to 6 weeks = 42 days
6. Install meters (3-5 days generally from most electric companies)

Sources:
https://www.tampaelectric.com/files/content/sesr.pdf
https://www.tampaelectric.com/files/content/customerconduitinstallationguide.pdf
Add your comment here"
19056070|Getting Electricity|United States|Florida|Tampa|Number of Procedures|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Wed Jan 30th, 6:56PM New
Copied to 1 person
6 procedures

1. Apply online to start service
2. Determine ""point of delivery"" & get approval from company for project
3. Purchase/rent required equipment
4. Install necessary equipment to prep meter installation
5. Schedule/complete inspection
6. Install meters

Sources:
https://www.tampaelectric.com/files/content/sesr.pdf
https://www.tampaelectric.com/files/content/customerconduitinstallationguide.pdf
Add your comment here"
19058105|Getting Electricity|United States|Washington|Seattle|Number of Procedures|"Comments
Mark All as Read
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 3:48PM New
Copied to 1 person
1) Submit online application
2) Meet energy code requirements & service connection requirements
3) Pre-design
4) Confirm requirements are met
5) Begin construction

Source:
https://www.seattle.gov/light/electricservice/
https://www.seattle.gov/light/engineerstd/docs/Requirements_for_Electrical_Service_Connection.pdf
Add your comment here"
19056332|Getting Electricity|United States|Virginia|Arlington|Number of Procedures|"Comments
Mark All as Read
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 3:37PM New
Copied to 1 person
1) Initiate work request online
2) Meet service requirements (blue book requirements & site ready checklist)
3) Designer confirmation of site readiness
4) Construction team will connect you to power
5) Required electrical inspection
6) Setting the meter

Source:
https://www.dominionenergy.com/library/domcom/media/home-and-small-business/new-construction/new-electric-service.pdf
Add your comment here"
19056338|Getting Electricity|United States|Virginia|Virginia Beach|Number of Procedures|"Comments
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 3:18PM
Copied to 1 person
1) Initiate work request online
2) Meet service requirements (blue book requirements & site ready checklist)
3) Designer confirmation of site readiness
4) Construction team will connect you to power
5) Required electrical inspection
6) Setting the meter

Source:
https://www.dominionenergy.com/library/domcom/media/home-and-small-business/new-construction/new-electric-service.pdf

Add your comment here"
19056336|Getting Electricity|United States|Virginia|Arlington|Hour)|"Comments
Mark All as Read
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 2:35PM New
Copied to 1 person
13.5¢/kWhr

Source:
https://www.bls.gov/regions/mid-atlantic/news-release/averageenergyprices_washingtondc.htm
Add your comment here"
19056334|Getting Electricity|United States|Virginia|Arlington|Cost as a Percent of Income per Capita|"Comments
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 2:35PM
Copied to 1 person
Per Capita Income: $67,061

Price of Electricity (US cents per kW hr): 13.5¢
kW hrs per yr: 322,560
Cost of Electricity per yr: ($0.135)(322,560) = $43,545.60

Cost as a % of Income per Capita: $43,545.60 / $67,601 = 64.4%

Source:
https://www.census.gov/quickfacts/fact/table/arlingtoncdpvirginia/PST045218
https://www.bls.gov/regions/mid-atlantic/news-release/averageenergyprices_washingtondc.htm

Add your comment here"
19056050|Getting Electricity|United States|Washington D.C.|District of Columbia|Hour)|"Comments
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 2:31PM
Copied to 1 person
13.5¢/kWhr

Source:
https://www.bls.gov/regions/mid-atlantic/data/averageenergyprices_washingtondc_table.htm
Add your comment here"
19056048|Getting Electricity|United States|Washington D.C.|District of Columbia|Cost as a Percent of Income per Capita|"Comments
1. Tara Dash (Center for the Study of Economic Liberty)   Tue Jan 29th, 2:30PM
Copied to 1 person
Per Capita Income: $50,832

Price of Electricity (US cents per kW hr): 13.5¢
kW hrs per yr: 322,560
Cost of Electricity per yr: ($0.135)(322,560) = $43,545.60

Cost as a % of Income per Capita: $43,545,60 / $50,832 = 85.7%

Source:
https://www.census.gov/quickfacts/fact/table/washingtoncitydistrictofcolumbia/PST045218
https://www.bls.gov/regions/mid-atlantic/data/averageenergyprices_washingtondc_table.htm
Add your comment here"
19136703|Getting Electricity|Canada|Alberta|Calgary|Cost as a Percent of Income per Capita|"Comments
Mark All as Read
1. Anamita Anuva (Center for the Study of Economic Liberty)   Tue Jan 29th, 1:02AM New
Copied to 1 person
Price of Electricity: $0.052
Number of hours: 322560 hours
Cost of Electricity per Year: ($0.052*322,560) = $16773.12 USD
Income Per Capita: $64,540 (U.S. Dollar)

Cost as a percent of income per capita: 25.98%
Add your comment here"
19136705|Getting Electricity|Canada|Alberta|Calgary|Hour)|"Comments
Sort by Date
1. Anamita Anuva (Center for the Study of Economic Liberty)   Tue Jan 29th, 12:42AM
Copied to 2 people
Price: 6.872c/kWh as of December 2018

Source:
https://ucahelps.alberta.ca/historic-rates.aspx
2. Anamita Anuva (Center for the Study of Economic Liberty)   Tue Jan 29th, 1:02AM
Copied to 2 people
Edit: 0.0672 Canadian Dollar = 0.052 USD
Add your comment here"
19136672|Getting Electricity|United States|Delaware|Wilmington|Time in Calendar Days|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Mon Jan 28th, 5:14PM New
Copied to 1 person
90 to 120 days to complete construction

https://www.delmarva.com/SiteCollectionDocuments/DPL%20Commercial%20Brochure%20(Combined).pdf
Add your comment here"
19136671|Getting Electricity|United States|Delaware|Wilmington|Number of Procedures|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Mon Jan 28th, 5:13PM New
Copied to 1 person
6 procedures

1. Submit application online
2. Submit plot/site plan
3. Service design and cost estimate delivered to customer
4. Service agreement and submission of necessary documents
5. Prepare site by clearing obstructions and marking water/gas/sewer lines
6. Install meter box

https://www.delmarva.com/SiteCollectionDocuments/DPL%20Commercial%20Brochure%20(Combined).pdf
https://www.delmarva.com/SiteCollectionDocuments/ElectricServiceHandbook.pdf
Add your comment here"
19056041|Getting Electricity|United States|Connecticut|Bridgeport|Time in Calendar Days|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Mon Jan 28th, 4:22PM New
Copied to 1 person
max time 52 days

1. Request service online or by phone (1 day)
2. Designer assigned and cost determined (2 days)
3. Submit payment and documents (can be done over phone or online - 1 day)
4. Complete any necessary trenching, tree-trimming or extra construction (no estimate given, but based on other states will be about 4-6 weeks = 28-42 days)
5. Inspection by city (1 day)
6. Schedule work request completion (up to 5 days)

https://www.eversource.com/content/docs/default-source/ct---pdfs/process-responsibilities-ct.pdf?sfvrsn=f9a3fe62_2
https://www.eversource.com/content/docs/default-source/ct---pdfs/ct-yellowbook.pdf?sfvrsn=ff0eed62_16
https://www.eversource.com/content/nh/about/about-us/doing-business-with-us/builders-contractors/eastern-massachusetts/electric-service-faq

Add your comment here"
19056040|Getting Electricity|United States|Connecticut|Bridgeport|Number of Procedures|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Mon Jan 28th, 4:13PM New
Copied to 1 person
6 procedures

1. Request service online
2. Designer assigned and cost determined
3. Submit payment and documents
4. Complete any necessary trenching, tree-trimming or extra construction
5. Inspection by city
6. Schedule work request completion

https://www.eversource.com/content/docs/default-source/ct---pdfs/process-responsibilities-ct.pdf?sfvrsn=f9a3fe62_2
https://www.eversource.com/content/docs/default-source/ct---pdfs/ct-yellowbook.pdf?sfvrsn=ff0eed62_16
Add your comment here"
19136708|Getting Electricity|Canada|Alberta|Edmonton|Time in Calendar Days|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Mon Jan 28th, 3:51PM New
Copied to 1 person
max estimated time is 107 days

1. Apply online (1 day)
2. Quote and preliminary design from representative (up to 4 weeks = 28 days)
3. Approve quote (1 day)
4. Obtain City of Edmonton electrical permit (online - 1 day)
5. Detailed design (up to 4 weeks = 28 days)
6. Schedule inspection with City of Edmonton (1 day)
7. Schedule construction (might be up to 6 weeks in between this and next step = 42 days)
8. Meter Installation (3-5 days)

https://www.epcor.com/products-services/power/new-power-connection/Pages/process.aspx
https://www.edmonton.ca/business_economy/licences_permits/commercial-electrical-permits.aspx
Add your comment here"
19136707|Getting Electricity|Canada|Alberta|Edmonton|Number of Procedures|"Comments
Mark All as Read
1. Ashley Marrs (Center for the Study of Economic Liberty)   Mon Jan 28th, 3:48PM New
Copied to 1 person
8 procedures

1. Apply online
2. Quote and preliminary design from representative
3. Approve quote
4. Obtain City of Edmonton electrical permit
5. Detailed design
6. Schedule inspection with City of Edmonton
7. Schedule construction
8. Meter Installation

https://www.epcor.com/products-services/power/new-power-connection/Pages/process.aspx
Add your comment here"
19136697|Getting Electricity|United States|Wyoming|Cheyenne|Cost as a Percent of Income per Capita|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Mon Jan 28th, 1:58PM
Price of Electricity (US Cents per Kilowatt-Hour): 9.02¢/kWh
Kilowatt-Hours used per Year: 322,560 hours
----------------------------------------------------------------------------------
Cost of Electricity per Year: ($0.0902*322,560) = $29,094.91 USD
----------------------------------------------------------------------------------
Income per Capita of Cheyenne, Wyoming (Nov 15, 2017): $31,981.00 USD
Source: https://www.census.gov/quickfacts/fact/table/cheyennecitywyoming/INC910217
----------------------------------------------------------------------------------
***Cost as a Percent of Income per Capita: ($29,094.91 / $31,981.00) = 90.98%***
Add your comment here"
19136699|Getting Electricity|United States|Wyoming|Cheyenne|Hour)|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Mon Jan 28th, 1:56PM
The average commercial electricity rate in Cheyenne is 9.02¢/kWh.[1]
The average residential electricity rate in Cheyenne is 11.53¢/kWh.[1]
The average industrial electricity rate in Cheyenne is 6.42¢/kWh.[1]

SOURCE: https://www.electricitylocal.com/states/wyoming/cheyenne/
Add your comment here"
